School,URL,Street,City,State,CMS
Midwest Academy MCYF,https://www.midwest-center.com/,PO Box 669,Kouts,IN,none
Lincoln Junior High School,https://www.plymouth.k12.in.us/lincoln,220 N Liberty St,Plymouth,IN,none
Menominee Elementary School,https://www.plymouth.k12.in.us/menominee,815 Discovery Ln,Plymouth,IN,none
Middlebury Elementary School,http://region15.org/mes,PO Box 26,Middlebury,IN,none
Milroy Elementary School,http://milroy.rushville.k12.in.us/,PO Box 278,Milroy,IN,none
Maxwell Intermediate School,http://mis.gcsc.k12.in.us/,102 N Main St,Maxwell,IN,none
Memorial Park Middle School,https://www.fwcs.k12.in.us/,2200 Maumee Ave,Fort Wayne,IN,none
Mentone Elementary School,http://tippecanoevalleyschools.com/schools/mentone-elementary/,PO Box 457,Mentone,IN,none
Miami Middle School,https://www.fortwayneschools.org/schools/school-pages.php?school=0128,8100 Amherst Dr,Fort Wayne,IN,none
Michael Grimmer Middle School,http://grimmer.lcsc.us/,225 W 77th Ave,Schererville,IN,none
Metro North Elementary School,http://mne.msdwc.k12.in.us/,3844 W 200 N,Wabash,IN,none
Milford School,http://milfordk12.org/,PO Box 548,Milford,IN,none
Milan Intermediate School,http://www.milan.k12.in.us/,609 N Warpath Dr,Milan,IN,none
Meadow's Edge Elementary School,https://maryfrank.phmschools.org/,16333 Kern Rd,Mishawaka,IN,none
Michiana Christian Academy,https://gomca.org/,2730 S Ironwood Dr,South Bend,IN,none
LaVille Elementary School,https://www.unorth.k12.in.us/,12645 Tyler Rd,Lakeville,IN,none
Merle J Abbett Elementary School,https://www.fortwayneschools.org/schools/school-pages.php?school=0137,4325 Smith St,Fort Wayne,IN,none
Mays Community Academy,http://mayscommunityacademy.com/,929 E South Street,Mays,IN,none
LaVille Jr-Sr High School,https://www.unorth.k12.in.us/,69969 US 31 S,Lakeville,IN,none
McClelland Elementary School,https://mce.wayne.k12.in.us/,6740 W Morris,Indianapolis,IN,none
Midwest Elite Prep Acad Inc,https://www.midwesteliteprepprek-12.com/,5261 Fountain Drive,Crown Point,IN,none
Meadows Elementary School,https://docs.google.com/document/d/1UqiCuxOhyN0qxClpKtUU3VQINevUVMf3H16aofUsVeM/edit#heading=h.a0vwwhkfh1hz,55 S Brown Ave,Terre Haute,IN,none
Mizpah Seventh-Day Adventist Acad,http://mizpah24.adventistchurchconnect.org/,2350 Jefferson St,Gary,IN,none
Meadowlawn Elementary School,http://www.tlschools.com/,715 W Ohio St,Monticello,IN,none
Mount Tabor Elementary School,https://fchs.nafcs.k12.in.us/,800 Mount Tabor,New Albany,IN,none
Monger Elementary School,http://elkhart.k12.in.us/,1100 E Hively Ave,Elkhart,IN,none
Morning Star Academy,https://childcarecenter.us/provider_detail/morning_star_academy_hammond_in,7350 Kennedy Ave,Hammond,IN,none
Mooresville High School,https://www.mooresvilleschools.org/,550 N Indiana St,Mooresville,IN,none
Mount Carmel School,http://www.fccsc.k12.in.us/mcs/,6178 Johnson Fork Rd,Cedar Grove,IN,none
Mooresville Christian Academy,https://mooresvillechristian.org/,4271 E SR 144,Mooresville,IN,none
N Judson-San Pierre Jr Sr High Sch,https://www.in.gov/che/4809.htm,1 Bluejay Dr,North Judson,IN,none
Montpelier School,https://www.mrpsvt.org/,107 E Monroe St,Montpelier,IN,none
MTI School of Knowledge,http://www.isimti.org/,2850 Coldsprings Rd,Indianapolis,IN,none
Montezuma Elementary School,http://www.aps.edu/schools/schools/montezuma,PO Box 400,Montezuma,IN,none
Morgan Township Middle/High School,https://www.eastporter.k12.in.us/schools/mmhs/,299 S SR 49,Valparaiso,IN,none
Marion High School,http://mhs.marion.k12.in.us/,750 W 26th St,Marion,IN,none
Most Precious Blood School,https://www.preciousblood.org/,1529 Barthold St,Fort Wayne,IN,none
Moores Hill Elementary School,http://www.sdcsc.k12.in.us/mhes-home,14733 Main St,Moores Hill,IN,none
Marion Early Childhood Ed Cntr,http://www.marion.k12.in.us/,720 N Miller Ave,Marion,IN,none
Mitchell High School,https://mitchell-h.schools.nsw.gov.au/,1000 Bishop Blvd,Mitchell,IN,none
Morristown Jr-Sr High School,https://morristownathletics.com/,PO Box 960,Morristown,IN,none
McKenzie Career Center,https://mckenzie.ltschools.org/,7250 E 75th St,Indianapolis,IN,none
Mishawaka High School,http://scm.mishawaka.k12.in.us/mhs/,1202 Lincolnway E,Mishawaka,IN,none
Moran Elementary School,https://moran.phmschools.org/,305 N Beech Rd,Osceola,IN,none
Morgan Township Elementary School,https://www.eastporter.k12.in.us/schools/mes/,299 S SR 49,Valparaiso,IN,none
Munster High School,https://mhs.munster.us/,8808 Columbia Ave,Munster,IN,none
Mount Vernon Jr High School,http://jh.mvschool.org/,701 Tile Factory Rd,Mount Vernon,IN,none
Model Elementary School,https://model.goshenschools.org/,412 S Greene Rd,Goshen,IN,none
New Washington Elementary School,http://nwes.gcs.k12.in.us/,224 Poplar - PO Box 130,New Washington,IN,none
New Castle Middle School,https://www.nccsc.k12.in.us/,601 Parkview Dr,New Castle,IN,none
New Castle High School,https://www.nccsc.k12.in.us/,801 Parkview Dr,New Castle,IN,none
New Washington Middle/High School,http://nwmhs.gcs.k12.in.us/,226 N Hwy 62,New Washington,IN,none
New Albany Senior High School,https://fchs.nafcs.k12.in.us/,1020 Vincennes St,New Albany,IN,none
New Vision Christian Academy,http://www.newvisionschool.org/,610 North Logan Street,Mishawaka,IN,none
Nathaniel Scribner Middle School,https://sms.nafcs.k12.in.us/,910 Old Vincennes Rd,New Albany,IN,none
Newby Memorial Elementary School,https://www.mooresvilleschools.org/schools/newby,240 N Monroe St,Mooresville,IN,none
New Britton Elementary School,https://nbe.hseschools.org/,8660 E 131st St,Fishers,IN,none
New Castle Area Vocational Sch,http://www.nccvt.k12.de.us/,801 Parkview Dr,New Castle,IN,none
Nativity Catholic School,https://school.nativityindy.org/,3310 S Meadow Dr,Indianapolis,IN,none
Neil Armstrong Elementary School,https://www.mooresvilleschools.org/schools/neil-armstrong,1000 Rd 144,Mooresville,IN,none
Needmore Elementary School,https://www.nlcs.k12.in.us/lincoln/,278 Trogdon Lane,Bedford,IN,none
New Middletown Elementary School,https://www.shcsc.k12.in.us/new-middletown-elementary/,2460 New Middletown Rd SE,New Middletown,IN,none
New Prairie High School,https://www.npusc.k12.in.us/,5333 N Cougar Rd,New Carlisle,IN,none
Neighbors' New Vistas High School,https://www.kleinisd.net/,5391 Central Ave,Portage,IN,none
New Prairie Middle School,https://www.npusc.k12.in.us/schools/new-prairie-middle-school/,5325 N Cougar Rd,New Carlisle,IN,none
Noblesville High School,http://sh1.noblesvillemillers.com/,18111 Cumberland Rd,Noblesville,IN,none
Newburgh Elementary School,http://www.warrick.k12.in.us/,306 State St,Newburgh,IN,none
New Hope Academy,http://www.hopeacademy.org.uk/,2307 Rhode Island,Gary,IN,none
New Market Elementary School,https://education.fcps.org/nmes/home,PO Box 128,New Market,IN,none
North Central High School,https://www.nchs.cc/,1801 E 86th St,Indianapolis,IN,none
Monroe Central Elementary School,http://www.monroecentral.org/elementary/,10421 W SR 32,Parker City,IN,none
Monroe Central Jr-Sr High School,http://www.monroecentral.org/highschool/,1878 N CR 1000 W,Parker City,IN,none
Nora Elementary School,https://no.msdwt.k12.in.us/,1000 E 91st St,Indianapolis,IN,none
North Liberty Christian School,http://www.jgsc.k12.in.us/nles.html,65225 SR 23,North Liberty,IN,none
North Knox Primary School,http://www.nknox.k12.in.us/primary/,215 E 4th St,Bicknell,IN,none
North Madison Elementary School,https://www.mooresvilleschools.org/schools/north-madison,7456 E Hadley Rd,Camby,IN,none
North Lawrence Career Center,https://www.nlcs.k12.in.us/,258 BNL Dr,Bedford,IN,none
Northaven Elementary School,http://nes.gcs.k12.in.us/,1907 Oak Ridge Dr,Jeffersonville,IN,none
North Side Middle School,http://elkhart.k12.in.us/northsidems/,300 Lawrence St,Elkhart,IN,none
North Wayne Elementary School,https://nwe.wayne.k12.in.us/,6950 W 34th St,Indianapolis,IN,none
Northcrest Elementary School,https://www.fwcs.k12.in.us/,5301 Archwood Ln,Fort Wayne,IN,none
North Knox Jr-Sr High School,http://www.nknox.k12.in.us/nkhs/,10890 N SR 159,Bicknell,IN,none
North Knox Intermediate,http://www.nknox.k12.in.us/nkhs/,7820 N Camp Arthur Rd,Bruceville,IN,none
North Montgomery High School,http://phes.nm.k12.in.us/,5945 US 231 N,Crawfordsville,IN,none
North Judson-San Pierre Elementary Sch,https://www.njsp.k12.in.us/,809 W Talmer Ave,North Judson,IN,none
North Posey High School,http://www.northposey.k12.in.us/,5900 High School Rd,Poseyville,IN,none
North Side High School,https://www.fortwayneschools.org/schools/school-pages.php?school=0101,475 E State St,Fort Wayne,IN,none
North Star Montessori School,http://www.northstarmontessori.org/,2320 Midway Street,Columbus,IN,none
North Putnam Middle School,http://www.nputnam.k12.in.us/nphs-home,8905 N CR 250 E,Roachdale,IN,none
North Posey Junior High School,http://www.northposey.k12.in.us/,5800 High School Rd,Poseyville,IN,none
North White Elementary School,http://www.nwhite.k12.in.us/,304 E Broadway St,Monon,IN,none
