Account Name,Industry,Account Source,School Name,School District,County,Account Status,Street Address,,City,Country,Created,Created By,Details
Dr. Paul Rafalides School - Jersey City Public Schools,Education,New Jersey Public Records - School Data,Dr. Paul Rafalides School,Jersey City Public Schools - Hudson County,Hudson,None,362 Union St,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Dr Ronald Mcnair High School - Jersey City Public Schools,Education,New Jersey Public Records - School Data,Dr Ronald Mcnair High School,Jersey City Public Schools - Hudson County,Hudson,None,123 Coles Street,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Dr. Ulysses S. Wiggins College Preparatory Lab Schoo - Camden City School District,Education,New Jersey Public Records - School Data,Dr. Ulysses S. Wiggins College Preparatory Lab Schoo,Camden City School District - Camden County,Camden,None,400 Mount Vernon Street,,Camden,United States,1/25/19 23:55,Brandon Lipman,
Dr William H Horton Elementary School - Newark Public School District,Education,New Jersey Public Records - School Data,Dr William H Horton Elementary School,Newark Public School District - Essex County,Essex,None,291 N 7Th St,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Dr. William Mennies Elementary School - Vineland Public School District,Education,New Jersey Public Records - School Data,Dr. William Mennies Elementary School,Vineland Public School District - Cumberland County,Cumberland,None,361 East Grant Avenue,,Vineland,United States,1/25/19 23:55,Brandon Lipman,
Dumont High School - Dumont Public School District,Education,New Jersey Public Records - School Data,Dumont High School,Dumont Public School District - Bergen County,Bergen,None,101 New Milford Ave,,Dumont,United States,1/25/19 23:54,Brandon Lipman,
Dunn Middle School - Trenton Public School District,Education,New Jersey Public Records - School Data,Dunn Middle School,Trenton Public School District - Mercer County,Mercer,None,401 Dayton Street,,Trenton,United States,1/25/19 23:56,Brandon Lipman,
Dutch Neck Elementary School - West Windsor-Plainsboro Regional School District,Education,New Jersey Public Records - School Data,Dutch Neck Elementary School,West Windsor-Plainsboro Regional School District - Mercer County,Mercer,None,392 Village Road East,,West Windsor,United States,1/25/19 23:56,Brandon Lipman,
Dwight D Eisenhower Middle School - Berlin Township School District,Education,New Jersey Public Records - School Data,Dwight D Eisenhower Middle School,Berlin Township School District - Camden County,Camden,None,235 Grove Avenue,,West Berlin,United States,1/25/19 23:55,Brandon Lipman,
Dwight D. Eisenhower Middle School - Wyckoff Township Public School District,Education,New Jersey Public Records - School Data,Dwight D. Eisenhower Middle School,Wyckoff Township Public School District - Bergen County,Bergen,None,344 Calvin Ct,,Wyckoff,United States,1/25/19 23:54,Brandon Lipman,
Dwight Morrow High School/Academies@Englewood - Englewood Public School District,Education,New Jersey Public Records - School Data,Dwight Morrow High School/Academies@Englewood,Englewood Public School District - Bergen County,Bergen,None,274 Knickerbocker Rd,,Englewood,United States,1/25/19 23:54,Brandon Lipman,
Eagle Academy For Young Men Of Newark - Newark Public School District,Education,New Jersey Public Records - School Data,Eagle Academy For Young Men Of Newark,Newark Public School District - Essex County,Essex,None,279 Chancellor Avenue,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Early Childhood Development Center - Camden City School District,Education,New Jersey Public Records - School Data,Early Childhood Development Center,Camden City School District - Camden County,Camden,None,1602 Pine Street,,Camden,United States,1/25/19 23:55,Brandon Lipman,
Early Childhood School - Central - Newark Public School District,Education,New Jersey Public Records - School Data,Early Childhood School - Central,Newark Public School District - Essex County,Essex,None,70 Montgomery Street,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Early Childhood School - North - Newark Public School District,Education,New Jersey Public Records - School Data,Early Childhood School - North,Newark Public School District - Essex County,Essex,None,24 Crane Street,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Early Childhood School - South - Newark Public School District,Education,New Jersey Public Records - School Data,Early Childhood School - South,Newark Public School District - Essex County,Essex,None,255 Chancellor Avenue,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Early Childhood School - West - Newark Public School District,Education,New Jersey Public Records - School Data,Early Childhood School - West,Newark Public School District - Essex County,Essex,None,26 Speedway Avenue,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Early Childhood School - West New York Board Of Education,Education,New Jersey Public Records - School Data,Early Childhood School,West New York Board Of Education - Hudson County,Hudson,None,5204 Hudson Ave,,West New York,United States,1/25/19 23:56,Brandon Lipman,
Eastampton Township Community School - Eastampton Township School District,Education,New Jersey Public Records - School Data,Eastampton Township Community School,Eastampton Township School District - Burlington County,Burlington,None,1 Student Drive,,Eastampton,United States,1/25/19 23:54,Brandon Lipman,
East Amwell Township - East Amwell Township School District,Education,New Jersey Public Records - School Data,East Amwell Township,East Amwell Township School District - Hunterdon County,Hunterdon,None,43 Wertsville Rd P O Box 680,,Ringoes,United States,1/25/19 23:56,Brandon Lipman,
East Brook Elementary School - Park Ridge School District,Education,New Jersey Public Records - School Data,East Brook Elementary School,Park Ridge School District - Bergen County,Bergen,None,167 Sibbald Dr,,Park Ridge,United States,1/25/19 23:54,Brandon Lipman,
East Brook Middle School - Paramus Public School District,Education,New Jersey Public Records - School Data,East Brook Middle School,Paramus Public School District - Bergen County,Bergen,None,190 Spring Valley Road,,Paramus,United States,1/25/19 23:54,Brandon Lipman,
Eastern Regional High School - Eastern Camden County Regional School District,Education,New Jersey Public Records - School Data,Eastern Regional High School,Eastern Camden County Regional School District - Camden County,Camden,None,1401 Laurel Oak Road,,Voorhees,United States,1/25/19 23:55,Brandon Lipman,
East Newark Public School - East Newark School District,Education,New Jersey Public Records - School Data,East Newark Public School,East Newark School District - Hudson County,Hudson,None,501 11 North Third Street,,E Newark,United States,1/25/19 23:56,Brandon Lipman,
East Orange Campus High School - East Orange School District,Education,New Jersey Public Records - School Data,East Orange Campus High School,East Orange School District - Essex County,Essex,None,344 Prospect Street,,East Orange,United States,1/25/19 23:55,Brandon Lipman,
East Orange Stem Academy High School - East Orange School District,Education,New Jersey Public Records - School Data,East Orange Stem Academy High School,East Orange School District - Essex County,Essex,None,129 Renshaw Avenue,,East Orange,United States,1/25/19 23:55,Brandon Lipman,
East Side High School - Newark Public School District,Education,New Jersey Public Records - School Data,East Side High School,Newark Public School District - Essex County,Essex,None,238 Van Buren St,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Ecole Toussaint Louverture - East Orange School District,Education,New Jersey Public Records - School Data,Ecole Toussaint Louverture,East Orange School District - Essex County,Essex,None,330 Central Ave,,East Orange,United States,1/25/19 23:55,Brandon Lipman,
Edgemont Elementary School - Montclair Public School District,Education,New Jersey Public Records - School Data,Edgemont Elementary School,Montclair Public School District - Essex County,Essex,None,20 Edgemont Rd,,Montclair,United States,1/25/19 23:55,Brandon Lipman,
Edison Middle School - West Orange Public Schools,Education,New Jersey Public Records - School Data,Edison Middle School,West Orange Public Schools - Essex County,Essex,None,75 William St,,W Orange,United States,1/25/19 23:56,Brandon Lipman,
Edith A. Bogert Elementary School - Upper Saddle River School District,Education,New Jersey Public Records - School Data,Edith A. Bogert Elementary School,Upper Saddle River School District - Bergen County,Bergen,None,391 W Saddle River Rd,,Upper Saddle River,United States,1/25/19 23:54,Brandon Lipman,
Edward H. Bryan - Cresskill Public School District,Education,New Jersey Public Records - School Data,Edward H. Bryan,Cresskill Public School District - Bergen County,Bergen,None,51 Brookside Ave,,Cresskill,United States,1/25/19 23:54,Brandon Lipman,
"Edward T. Bowser, Sr. School Of Excellence - East Orange School District",Education,New Jersey Public Records - School Data,"Edward T. Bowser, Sr. School Of Excellence",East Orange School District - Essex County,Essex,None,180 Lincoln Street,,East Orange,United States,1/25/19 23:55,Brandon Lipman,
Edward T. Hamilton - Voorhees Township School District,Education,New Jersey Public Records - School Data,Edward T. Hamilton,Voorhees Township School District - Camden County,Camden,None,23 Northgate Drive,,Voorhees,United States,1/25/19 23:55,Brandon Lipman,
Egg Harbor City Community School - Egg Harbor City School District,Education,New Jersey Public Records - School Data,Egg Harbor City Community School,Egg Harbor City School District - Atlantic County,Atlantic,None,730 Havana Avenue,,Egg Harbor City,United States,1/25/19 23:54,Brandon Lipman,
Egg Harbor Township High School - Egg Harbor Township School District,Education,New Jersey Public Records - School Data,Egg Harbor Township High School,Egg Harbor Township School District - Atlantic County,Atlantic,None,24 High School Drive,,Egg Harbor Township,United States,1/25/19 23:54,Brandon Lipman,
E. H. Slaybaugh Elementary School - Egg Harbor Township School District,Education,New Jersey Public Records - School Data,E. H. Slaybaugh Elementary School,Egg Harbor Township School District - Atlantic County,Atlantic,None,11 Swift Avenue,,Egg Harbor Township,United States,1/25/19 23:54,Brandon Lipman,
Eldridge Park School - Lawrence Township Public School District,Education,New Jersey Public Records - School Data,Eldridge Park School,Lawrence Township Public School District - Mercer County,Mercer,None,55 Lawn Park Ave,,Lawrenceville,United States,1/25/19 23:56,Brandon Lipman,
Eleanor Rush Intermediate School - Cinnaminson Township Public Schools,Education,New Jersey Public Records - School Data,Eleanor Rush Intermediate School,Cinnaminson Township Public Schools - Burlington County,Burlington,None,1200 Wynwood Drive,,Cinnaminson,United States,1/25/19 23:54,Brandon Lipman,
Eleanor Van Gelder - Edgewater School District,Education,New Jersey Public Records - School Data,Eleanor Van Gelder,Edgewater School District - Bergen County,Bergen,None,251 Undercliff Ave,,Edgewater,United States,1/25/19 23:54,Brandon Lipman,
Elizabeth F. Moore School - Upper Deerfield Township School District,Education,New Jersey Public Records - School Data,Elizabeth F. Moore School,Upper Deerfield Township School District - Cumberland County,Cumberland,None,1361 Highway 77,,Seabrook,United States,1/25/19 23:55,Brandon Lipman,
Elizabeth Haddon School - Haddonfield School District,Education,New Jersey Public Records - School Data,Elizabeth Haddon School,Haddonfield School District - Camden County,Camden,None,501 West Redman Avenue,,Haddonfield,United States,1/25/19 23:55,Brandon Lipman,
Elliott Street Elementary School - Newark Public School District,Education,New Jersey Public Records - School Data,Elliott Street Elementary School,Newark Public School District - Essex County,Essex,None,721 Summer Avenue,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Elwood Kindle Elementary School - Pitman Boro School District,Education,New Jersey Public Records - School Data,Elwood Kindle Elementary School,Pitman Boro School District - Gloucester County,Gloucester,None,211 Washington Avenue,,Pitman,United States,1/25/19 23:56,Brandon Lipman,
Emerson Jr Sr High - Emerson Public School District,Education,New Jersey Public Records - School Data,Emerson Jr Sr High,Emerson Public School District - Bergen County,Bergen,None,131 Main Street,,Emerson,United States,1/25/19 23:54,Brandon Lipman,
Emerson Middle School - Union City School District,Education,New Jersey Public Records - School Data,Emerson Middle School,Union City School District - Hudson County,Hudson,None,318 - 18Th Street,,Union City,United States,1/25/19 23:56,Brandon Lipman,
Emil A. Cavallini Middle School - Upper Saddle River School District,Education,New Jersey Public Records - School Data,Emil A. Cavallini Middle School,Upper Saddle River School District - Bergen County,Bergen,None,392 W Saddle River Rd,,Upper Saddle River,United States,1/25/19 23:54,Brandon Lipman,
Emily C. Reynolds Middle School - Hamilton Township Public School District,Education,New Jersey Public Records - School Data,Emily C. Reynolds Middle School,Hamilton Township Public School District - Mercer County,Mercer,None,2145 Yardville Hamilton Sq,,Hamilton,United States,1/25/19 23:56,Brandon Lipman,
Emma C Attales - Absecon Public Schools District,Education,New Jersey Public Records - School Data,Emma C Attales,Absecon Public Schools District - Atlantic County,Atlantic,None,800 Irelan Avenue,,Absecon,United States,1/25/19 23:53,Brandon Lipman,
Emotionally Disturbed - Bergen County Special Services School District,Education,New Jersey Public Records - School Data,Emotionally Disturbed,Bergen County Special Services School District - Bergen County,Bergen,None,540 Farview Avenue,,Paramus,United States,1/25/19 23:54,Brandon Lipman,
Erial Elementary School - Gloucester Township Public Schools,Education,New Jersey Public Records - School Data,Erial Elementary School,Gloucester Township Public Schools - Camden County,Camden,None,20 Essex Avenue,,Sicklerville,United States,1/25/19 23:55,Brandon Lipman,
Eric S. Smith Middle School - Ramsey School District,Education,New Jersey Public Records - School Data,Eric S. Smith Middle School,Ramsey School District - Bergen County,Bergen,None,2 Monroe Street,,Ramsey,United States,1/25/19 23:54,Brandon Lipman,
E. Roy Bixby - Bogota Public School District,Education,New Jersey Public Records - School Data,E. Roy Bixby,Bogota Public School District - Bergen County,Bergen,None,25 Fischer Ave,,Bogota,United States,1/25/19 23:54,Brandon Lipman,
Esc Academy - Hunterdon County Educational Services Commission,Education,New Jersey Public Records - School Data,Esc Academy,Hunterdon County Educational Services Commission - Hunterdon County,Hunterdon,None,37 Hoffmans Crossing Road,,Califon,United States,1/25/19 23:56,Brandon Lipman,
Essex Campus Academy - Essex Regional Educational Services Commission,Education,New Jersey Public Records - School Data,Essex Campus Academy,Essex Regional Educational Services Commission - Essex County,Essex,None,369 Passaic Avenue,,Fairfield,United States,1/25/19 23:55,Brandon Lipman,
"Essex County Donald M. Payne, Sr. School Of Technology - Essex County Vocational Technical Schools",Education,New Jersey Public Records - School Data,"Essex County Donald M. Payne, Sr. School Of Technology",Essex County Vocational Technical Schools - Essex County,Essex,None,498-544 West Market St,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Essex County Newark Tech - Essex County Vocational Technical Schools,Education,New Jersey Public Records - School Data,Essex County Newark Tech,Essex County Vocational Technical Schools - Essex County,Essex,None,91 West Market Street,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Essex County West Caldwell Tech - Essex County Vocational Technical Schools,Education,New Jersey Public Records - School Data,Essex County West Caldwell Tech,Essex County Vocational Technical Schools - Essex County,Essex,None,620 Passaic Ave,,West Caldwell,United States,1/25/19 23:55,Brandon Lipman,
Essex Fells Elementary School - Essex Fells School District,Education,New Jersey Public Records - School Data,Essex Fells Elementary School,Essex Fells School District - Essex County,Essex,None,102 Hawthorne Rd,,Essex Fells,United States,1/25/19 23:55,Brandon Lipman,
Essex High School - Essex Regional Educational Services Commission,Education,New Jersey Public Records - School Data,Essex High School,Essex Regional Educational Services Commission - Essex County,Essex,None,520 Pompton Avenue,,Cedar Grove,United States,1/25/19 23:55,Brandon Lipman,
Essex Junior Academy - Essex Regional Educational Services Commission,Education,New Jersey Public Records - School Data,Essex Junior Academy,Essex Regional Educational Services Commission - Essex County,Essex,None,520 Pompton Avenue,,Cedar Grove,United States,1/25/19 23:55,Brandon Lipman,
Estell Manor Elementary School - Estell Manor School District,Education,New Jersey Public Records - School Data,Estell Manor Elementary School,Estell Manor School District - Atlantic County,Atlantic,None,128 Cape May Avenue,,Estell Manor,United States,1/25/19 23:54,Brandon Lipman,
Ethel Hoppock Middle School - Bethlehem Township School District,Education,New Jersey Public Records - School Data,Ethel Hoppock Middle School,Bethlehem Township School District - Hunterdon County,Hunterdon,None,280 Asbury West Portal Rd,,Asbury,United States,1/25/19 23:56,Brandon Lipman,
Ethel M Burke Elementary School - Bellmawr Public School District,Education,New Jersey Public Records - School Data,Ethel M Burke Elementary School,Bellmawr Public School District - Camden County,Camden,None,112 South Black Horse Pike,,Bellmawr,United States,1/25/19 23:55,Brandon Lipman,
Ethel Mcknight Elementary School - East Windsor Regional School District,Education,New Jersey Public Records - School Data,Ethel Mcknight Elementary School,East Windsor Regional School District - Mercer County,Mercer,None,58 Twin Rivers Dr South,,East Windsor,United States,1/25/19 23:56,Brandon Lipman,
Euclid Elementary School - Hasbrouck Heights School District,Education,New Jersey Public Records - School Data,Euclid Elementary School,Hasbrouck Heights School District - Bergen County,Bergen,None,1 Burton Avenue,,Hasbrouck Heights,United States,1/25/19 23:54,Brandon Lipman,
Eugene A. Tighe Middle School - Margate City School District,Education,New Jersey Public Records - School Data,Eugene A. Tighe Middle School,Margate City School District - Atlantic County,Atlantic,None,7804 Amherst Avenue,,Margate,United States,1/25/19 23:54,Brandon Lipman,
Eugenio Maria De Hostos Center For Early Childhood Education - Union City School District,Education,New Jersey Public Records - School Data,Eugenio Maria De Hostos Center For Early Childhood Education,Union City School District - Hudson County,Hudson,None,2200 Kennedy Blvd,,Union City,United States,1/25/19 23:56,Brandon Lipman,
Evergreen Avenue Elementary School - Woodbury City Public School District,Education,New Jersey Public Records - School Data,Evergreen Avenue Elementary School,Woodbury City Public School District - Gloucester County,Gloucester,None,160 North Evergreen Avenue,,Woodbury,United States,1/25/19 23:56,Brandon Lipman,
Ewing High School - Ewing Township School District,Education,New Jersey Public Records - School Data,Ewing High School,Ewing Township School District - Mercer County,Mercer,None,900 Parkway Ave,,Ewing,United States,1/25/19 23:56,Brandon Lipman,
Explore 2000 Middle School - Hudson County Schools Of Technology School District,Education,New Jersey Public Records - School Data,Explore 2000 Middle School,Hudson County Schools Of Technology School District - Hudson County,Hudson,None,180-9Th St,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Ezra L. Nolan School - Jersey City Public Schools,Education,New Jersey Public Records - School Data,Ezra L. Nolan School,Jersey City Public Schools - Hudson County,Hudson,None,88 Gates Ave,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Fairfield Township School - Fairfield Township School District,Education,New Jersey Public Records - School Data,Fairfield Township School,Fairfield Township School District - Cumberland County,Cumberland,None,375 Gouldtown Woodruff Road,,Bridgeton,United States,1/25/19 23:55,Brandon Lipman,
Fair Lawn High School - Fair Lawn Public School District,Education,New Jersey Public Records - School Data,Fair Lawn High School,Fair Lawn Public School District - Bergen County,Bergen,None,14 00 Berdan Avenue,,Fair Lawn,United States,1/25/19 23:54,Brandon Lipman,
Fairmount - Hackensack School District,Education,New Jersey Public Records - School Data,Fairmount,Hackensack School District - Bergen County,Bergen,None,105 Grand Avenue,,Hackensack,United States,1/25/19 23:54,Brandon Lipman,
Fairview Elementary School - Bloomfield Township School District,Education,New Jersey Public Records - School Data,Fairview Elementary School,Bloomfield Township School District - Essex County,Essex,None,376 Berkeley Avenue,,Bloomfield,United States,1/25/19 23:55,Brandon Lipman,
Fanny Meyer Hillers - Hackensack School District,Education,New Jersey Public Records - School Data,Fanny Meyer Hillers,Hackensack School District - Bergen County,Bergen,None,56 Longview Avenue,,Hackensack,United States,1/25/19 23:54,Brandon Lipman,
Fernwood Avenue Middle School - Egg Harbor Township School District,Education,New Jersey Public Records - School Data,Fernwood Avenue Middle School,Egg Harbor Township School District - Atlantic County,Atlantic,None,4034 Fernwood Avenue,,Egg Harbor Township,United States,1/25/19 23:54,Brandon Lipman,
Fieldstone Middle School - Montvale Board Of Education School District,Education,New Jersey Public Records - School Data,Fieldstone Middle School,Montvale Board Of Education School District - Bergen County,Bergen,None,47 Spring Valley Road,,Montvale,United States,1/25/19 23:54,Brandon Lipman,
First Avenue School - Newark Public School District,Education,New Jersey Public Records - School Data,First Avenue School,Newark Public School District - Essex County,Essex,None,214 First Ave,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Fleetwood Elementary School - Mount Laurel Township School District,Education,New Jersey Public Records - School Data,Fleetwood Elementary School,Mount Laurel Township School District - Burlington County,Burlington,None,231 Fleetwood Ave,,Mount Laurel,United States,1/25/19 23:54,Brandon Lipman,
Florence Avenue Elementary School - Irvington Public School District,Education,New Jersey Public Records - School Data,Florence Avenue Elementary School,Irvington Public School District - Essex County,Essex,None,1324 Springfield Avenue,,Irvington,United States,1/25/19 23:55,Brandon Lipman,
Florence L. Walther School - Lumberton Township Board Of Education,Education,New Jersey Public Records - School Data,Florence L. Walther School,Lumberton Township Board Of Education - Burlington County,Burlington,None,56 Chestnut Street,,Lumberton,United States,1/25/19 23:54,Brandon Lipman,
Florence Riverfront School - Florence Township School District,Education,New Jersey Public Records - School Data,Florence Riverfront School,Florence Township School District - Burlington County,Burlington,None,500 Front Street,,Florence,United States,1/25/19 23:54,Brandon Lipman,
Florence Township Memorial High School - Florence Township School District,Education,New Jersey Public Records - School Data,Florence Township Memorial High School,Florence Township School District - Burlington County,Burlington,None,1050 Cedar Lane,,Burlington,United States,1/25/19 23:54,Brandon Lipman,
Folsom Elementary School - Folsom Borough School District,Education,New Jersey Public Records - School Data,Folsom Elementary School,Folsom Borough School District - Atlantic County,Atlantic,None,1357 Mays Landing Road,,Folsom,United States,1/25/19 23:54,Brandon Lipman,
Forest Avenue School - Glen Ridge Public School District,Education,New Jersey Public Records - School Data,Forest Avenue School,Glen Ridge Public School District - Essex County,Essex,None,287 Forest Ave,,Glen Ridge,United States,1/25/19 23:54,Brandon Lipman,
Forest Avenue School - Verona Public School District,Education,New Jersey Public Records - School Data,Forest Avenue School,Verona Public School District - Essex County,Essex,None,118 Forest Ave,,Verona,United States,1/25/19 23:54,Brandon Lipman,
Forest Hill School - Camden City School District,Education,New Jersey Public Records - School Data,Forest Hill School,Camden City School District - Camden County,Camden,None,1625 Wildwood Avenue,,Camden,United States,1/25/19 23:55,Brandon Lipman,
Forest Street Elementary School - Orange Board Of Education School District,Education,New Jersey Public Records - School Data,Forest Street Elementary School,Orange Board Of Education School District - Essex County,Essex,None,651 Forest St,,Orange,United States,1/25/19 23:56,Brandon Lipman,
Fort Dix Elementary School - Pemberton Township School District,Education,New Jersey Public Records - School Data,Fort Dix Elementary School,Pemberton Township School District - Burlington County,Burlington,None,1199 Fort Dix Juliustown Road,,Fort Dix,United States,1/25/19 23:55,Brandon Lipman,
Fort Lee High School - Fort Lee School District,Education,New Jersey Public Records - School Data,Fort Lee High School,Fort Lee School District - Bergen County,Bergen,None,3000 Lemoine Ave,,Fort Lee,United States,1/25/19 23:54,Brandon Lipman,
Fountain Woods Elementary School - Burlington Township School District,Education,New Jersey Public Records - School Data,Fountain Woods Elementary School,Burlington Township School District - Burlington County,Burlington,None,601 Fountain Avenue,,Burlington,United States,1/25/19 23:54,Brandon Lipman,
Fourteenth Avenue School - Newark Public School District,Education,New Jersey Public Records - School Data,Fourteenth Avenue School,Newark Public School District - Essex County,Essex,None,186 14Th Ave,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Frances Demasi Elementary School - Evesham Township School District,Education,New Jersey Public Records - School Data,Frances Demasi Elementary School,Evesham Township School District - Burlington County,Burlington,None,199 Evesboro Medford Rd,,Marlton,United States,1/25/19 23:54,Brandon Lipman,
Frances Demasi Middle School - Evesham Township School District,Education,New Jersey Public Records - School Data,Frances Demasi Middle School,Evesham Township School District - Burlington County,Burlington,None,199 Evesboro Medford Rd,,Marlton,United States,1/25/19 23:54,Brandon Lipman,
Francis A. Desmares Elementary School - Flemington-Raritan Regional School District,Education,New Jersey Public Records - School Data,Francis A. Desmares Elementary School,Flemington-Raritan Regional School District - Hunterdon County,Hunterdon,None,16 Old Clinton Road,,Flemington,United States,1/25/19 23:56,Brandon Lipman,
Francis Lore Elementary School - Ewing Township School District,Education,New Jersey Public Records - School Data,Francis Lore Elementary School,Ewing Township School District - Mercer County,Mercer,None,13 Westwood Drive,,Ewing,United States,1/25/19 23:56,Brandon Lipman,
Franklin Avenue Middle School - Franklin Lakes School District,Education,New Jersey Public Records - School Data,Franklin Avenue Middle School,Franklin Lakes School District - Bergen County,Bergen,None,755 Franklin Avenue,,Franklin Lakes,United States,1/25/19 23:54,Brandon Lipman,
Franklin Elementary School - Bergenfield Borough School District,Education,New Jersey Public Records - School Data,Franklin Elementary School,Bergenfield Borough School District - Bergen County,Bergen,None,2 N Franklin Avenue,,Bergenfield,United States,1/25/19 23:54,Brandon Lipman,
Franklin Elementary School - Bloomfield Township School District,Education,New Jersey Public Records - School Data,Franklin Elementary School,Bloomfield Township School District - Essex County,Essex,None,85 Curtis Street,,Bloomfield,United States,1/25/19 23:54,Brandon Lipman,
Franklin Elementary School - Kearny,Education,New Jersey Public Records - School Data,Franklin Elementary School,Kearny - Hudson County,Hudson,None,100 Davis Ave,,Kearny,United States,1/25/19 23:54,Brandon Lipman,
Franklin Elementary School - North Bergen School District,Education,New Jersey Public Records - School Data,Franklin Elementary School,North Bergen School District - Hudson County,Hudson,None,5211 Columbia Avenue,,N Bergen,United States,1/25/19 23:54,Brandon Lipman,
Franklin Elementary School - Trenton Public School District,Education,New Jersey Public Records - School Data,Franklin Elementary School,Trenton Public School District - Mercer County,Mercer,None,200 William Street,,Trenton,United States,1/25/19 23:54,Brandon Lipman,
Franklin L. Williams School - Jersey City Public Schools,Education,New Jersey Public Records - School Data,Franklin L. Williams School,Jersey City Public Schools - Hudson County,Hudson,None,222 Laidlaw Avenue,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Franklin School - Lyndhurst School District,Education,New Jersey Public Records - School Data,Franklin School,Lyndhurst School District - Bergen County,Bergen,None,360 Stuyvesant Ave,,Lyndhurst,United States,1/25/19 23:54,Brandon Lipman,
Franklin School - Saddle Brook School District,Education,New Jersey Public Records - School Data,Franklin School,Saddle Brook School District - Bergen County,Bergen,None,95 Caldwell Avenue,,Saddle Brook,United States,1/25/19 23:54,Brandon Lipman,
Franklin Township School - Franklin Township School District,Education,New Jersey Public Records - School Data,Franklin Township School,Franklin Township School District - Hunterdon County,Hunterdon,None,226 Quakertown Road P O Box 368,,Quakertown,United States,1/25/19 23:56,Brandon Lipman,
Frank R Conwell School - Jersey City Public Schools,Education,New Jersey Public Records - School Data,Frank R Conwell School,Jersey City Public Schools - Hudson County,Hudson,None,111 Bright Street,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Frank W. Gavlak Elementary School - Wallington Boro School District,Education,New Jersey Public Records - School Data,Frank W. Gavlak Elementary School,Wallington Boro School District - Bergen County,Bergen,None,106 King St,,Wallington,United States,1/25/19 23:54,Brandon Lipman,
Frederic N. Brown Elementary School - Verona Public School District,Education,New Jersey Public Records - School Data,Frederic N. Brown Elementary School,Verona Public School District - Essex County,Essex,None,125 Grove Ave,,Verona,United States,1/25/19 23:56,Brandon Lipman,
Frenchtown Elementary - Frenchtown Borough School District,Education,New Jersey Public Records - School Data,Frenchtown Elementary,Frenchtown Borough School District - Hunterdon County,Hunterdon,None,902 Harrison St,,Frenchtown,United States,1/25/19 23:56,Brandon Lipman,
F. W. Holbein Middle School - Mount Holly Township Public School District,Education,New Jersey Public Records - School Data,F. W. Holbein Middle School,Mount Holly Township Public School District - Burlington County,Burlington,None,333 Levis Drive,,Mount Holly,United States,1/25/19 23:54,Brandon Lipman,
Galloway Township Middle School - Galloway Township Public Schools,Education,New Jersey Public Records - School Data,Galloway Township Middle School,Galloway Township Public Schools - Atlantic County,Atlantic,None,100 S Reeds Road,,Galloway,United States,1/25/19 23:54,Brandon Lipman,
Gantner Avenue School - Elmwood Park School District,Education,New Jersey Public Records - School Data,Gantner Avenue School,Elmwood Park School District - Bergen County,Bergen,None,99 Roosevelt Ave,,Elmwood Park,United States,1/25/19 23:54,Brandon Lipman,
Garfield Early Childhood Learning Center - Garfield Public School District,Education,New Jersey Public Records - School Data,Garfield Early Childhood Learning Center,Garfield Public School District - Bergen County,Bergen,None,241 Ray Street,,Garfield,United States,1/25/19 23:54,Brandon Lipman,
Garfield Elementary School - Kearny,Education,New Jersey Public Records - School Data,Garfield Elementary School,Kearny - Hudson County,Hudson,None,360 Belgrove Dr,,Kearny,United States,1/25/19 23:56,Brandon Lipman,
Garfield High School - Garfield Public School District,Education,New Jersey Public Records - School Data,Garfield High School,Garfield Public School District - Bergen County,Bergen,None,500 Palisade Ave,,Garfield,United States,1/25/19 23:54,Brandon Lipman,
Garfield Middle School - Garfield Public School District,Education,New Jersey Public Records - School Data,Garfield Middle School,Garfield Public School District - Bergen County,Bergen,None,175 Lanza Ave,,Garfield,United States,1/25/19 23:54,Brandon Lipman,
Garfield Public Preschool 3 At Headstart - Garfield Public School District,Education,New Jersey Public Records - School Data,Garfield Public Preschool 3 At Headstart,Garfield Public School District - Bergen County,Bergen,None,541 Midland Ave,,Garfield,United States,1/25/19 23:54,Brandon Lipman,
Garfield Public Preschool Annex - Garfield Public School District,Education,New Jersey Public Records - School Data,Garfield Public Preschool Annex,Garfield Public School District - Bergen County,Bergen,None,464 Outwater Lane,,Garfield,United States,1/25/19 23:54,Brandon Lipman,
Gateway Regional High School - Gateway Regional School District,Education,New Jersey Public Records - School Data,Gateway Regional High School,Gateway Regional School District - Gloucester County,Gloucester,None,775 Tanyard Rd,,Woodbury Hts,United States,1/25/19 23:56,Brandon Lipman,
