Account Name,Industry,Account Source,School Name,School District,County,Account Status,Street Address,,City,Country,Created,Created By,Details
Alternative School At Levitt - Willingboro Public School District,Education,New Jersey Public Records - School Data,Alternative School At Levitt,Willingboro Public School District - Burlington County,Burlington,None,50 Martin Luther King Jr. Blvd,,Willingboro,United States,1/25/19 23:55,Brandon Lipman,
Althea Gibson Academy - East Orange School District,Education,New Jersey Public Records - School Data,Althea Gibson Academy,East Orange School District - Essex County,Essex,None,490 William Street William Street,,East Orange,United States,1/25/19 23:55,Brandon Lipman,
American History High School - Newark Public School District,Education,New Jersey Public Records - School Data,American History High School,Newark Public School District - Essex County,Essex,None,74 Montgomery St,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Anna C. Scott Elementary School - Leonia Public School District,Education,New Jersey Public Records - School Data,Anna C. Scott Elementary School,Leonia Public School District - Bergen County,Bergen,None,100 Highland Street,,Leonia,United States,1/25/19 23:54,Brandon Lipman,
Anna L. Klein - Guttenberg School District,Education,New Jersey Public Records - School Data,Anna L. Klein,Guttenberg School District - Hudson County,Hudson,None,301 69Th St,,Guttenberg,United States,1/25/19 23:56,Brandon Lipman,
Ann A. Mullen Middle School - Gloucester Township Public Schools,Education,New Jersey Public Records - School Data,Ann A. Mullen Middle School,Gloucester Township Public Schools - Camden County,Camden,None,1400 Sicklerville Road,,Sicklerville,United States,1/25/19 23:55,Brandon Lipman,
Ann Blanche Smith - Hillsdale School District,Education,New Jersey Public Records - School Data,Ann Blanche Smith,Hillsdale School District - Bergen County,Bergen,None,1000 Hillsdale Ave,,Hillsdale,United States,1/25/19 23:54,Brandon Lipman,
Ann Street School - Newark Public School District,Education,New Jersey Public Records - School Data,Ann Street School,Newark Public School District - Essex County,Essex,None,30 Ann St,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Anthony Rossi Elementary School - Vineland Public School District,Education,New Jersey Public Records - School Data,Anthony Rossi Elementary School,Vineland Public School District - Cumberland County,Cumberland,None,2572 Palermo Ave,,Vineland,United States,1/25/19 23:55,Brandon Lipman,
Applied Technology High School - Bergen County Vocational Technical School District,Education,New Jersey Public Records - School Data,Applied Technology High School,Bergen County Vocational Technical School District - Bergen County,Bergen,None,400 Paramus Road,,Paramus,United States,1/25/19 23:54,Brandon Lipman,
Arthur Rann Elementary School - Galloway Township Public Schools,Education,New Jersey Public Records - School Data,Arthur Rann Elementary School,Galloway Township Public Schools - Atlantic County,Atlantic,None,515 S Eighth Ave,,Galloway,United States,1/25/19 23:54,Brandon Lipman,
Arts High School - Newark Public School District,Education,New Jersey Public Records - School Data,Arts High School,Newark Public School District - Essex County,Essex,None,550 M L King Blvd,,Newark,United States,1/25/19 23:55,Brandon Lipman,
A. Russell Knight Elementary School - Cherry Hill School District,Education,New Jersey Public Records - School Data,A. Russell Knight Elementary School,Cherry Hill School District - Camden County,Camden,None,140 Old Carriage Rd.,,Cherry Hill,United States,1/25/19 23:55,Brandon Lipman,
Ashbrook Elementary School - Lumberton Township Board Of Education,Education,New Jersey Public Records - School Data,Ashbrook Elementary School,Lumberton Township Board Of Education - Burlington County,Burlington,None,33 Municipal Drive,,Lumberton,United States,1/25/19 23:54,Brandon Lipman,
Atco Elementary - Waterford Township School District,Education,New Jersey Public Records - School Data,Atco Elementary,Waterford Township School District - Camden County,Camden,None,2162 Cooper Road,,Atco,United States,1/25/19 23:55,Brandon Lipman,
Atlantic Avenue - Haddon Heights School District,Education,New Jersey Public Records - School Data,Atlantic Avenue,Haddon Heights School District - Camden County,Camden,None,21 East Atlantic Avenue,,Haddon Heights,United States,1/25/19 23:55,Brandon Lipman,
Atlantic City High School - Atlantic City School District,Education,New Jersey Public Records - School Data,Atlantic City High School,Atlantic City School District - Atlantic County,Atlantic,None,1400 N Albany Avenue,,Atlantic City,United States,1/25/19 23:53,Brandon Lipman,
Atlantic County Alternative High School - Atlantic County Vocational School District,Education,New Jersey Public Records - School Data,Atlantic County Alternative High School,Atlantic County Vocational School District - Atlantic County,Atlantic,None,4805 Nawakwa Blvd,,Mays Landing,United States,1/25/19 23:54,Brandon Lipman,
Atlantic County Elementary And Middle Schools - Atlantic County Special Services School District,Education,New Jersey Public Records - School Data,Atlantic County Elementary And Middle Schools,Atlantic County Special Services School District - Atlantic County,Atlantic,None,4805 Nawakwa Boulevard,,Mays Landing,United States,1/25/19 23:54,Brandon Lipman,
Atlantic County High School - Atlantic County Special Services School District,Education,New Jersey Public Records - School Data,Atlantic County High School,Atlantic County Special Services School District - Atlantic County,Atlantic,None,4805 Nawakwa Boulevard,,Mays Landing,United States,1/25/19 23:54,Brandon Lipman,
Atlantic County Institute Of Technology - Atlantic County Vocational School District,Education,New Jersey Public Records - School Data,Atlantic County Institute Of Technology,Atlantic County Vocational School District - Atlantic County,Atlantic,None,5080 Atlantic Avenue,,Mays Landing,United States,1/25/19 23:54,Brandon Lipman,
Atlantis Elementary School - North Hanover Township School District,Education,New Jersey Public Records - School Data,Atlantis Elementary School,North Hanover Township School District - Burlington County,Burlington,None,3 School Road,,Joint Base Mdl,United States,1/25/19 23:54,Brandon Lipman,
Audubon Junior/Senior High School - Audubon Public School Disrict,Education,New Jersey Public Records - School Data,Audubon Junior/Senior High School,Audubon Public School Disrict - Camden County,Camden,None,350 Edgewood Avenue,,Audubon,United States,1/25/19 23:55,Brandon Lipman,
Augusta Preschool Academy - Irvington Public School District,Education,New Jersey Public Records - School Data,Augusta Preschool Academy,Irvington Public School District - Essex County,Essex,None,97 Augusta Street,,Irvington,United States,1/25/19 23:55,Brandon Lipman,
Aura Elementary School - Elk Township School District,Education,New Jersey Public Records - School Data,Aura Elementary School,Elk Township School District - Gloucester County,Gloucester,None,900 Clems Run,,Glassboro,United States,1/25/19 23:56,Brandon Lipman,
Autistic - Bergen County Special Services School District,Education,New Jersey Public Records - School Data,Autistic,Bergen County Special Services School District - Bergen County,Bergen,None,540 Farview Avenue,,Paramus,United States,1/25/19 23:54,Brandon Lipman,
Avalon Elementary School - Avalon School District,Education,New Jersey Public Records - School Data,Avalon Elementary School,Avalon School District - Cape May County,Cape May,None,235 32Nd Street,,Avalon,United States,1/25/19 23:55,Brandon Lipman,
Avon Elementary School - Barrington School District,Education,New Jersey Public Records - School Data,Avon Elementary School,Barrington School District - Camden County,Camden,None,862 Mercer Dr,,Haddonfield,United States,1/25/19 23:55,Brandon Lipman,
Baldwin Elementary School - Pennsauken Township Board Of Education School District,Education,New Jersey Public Records - School Data,Baldwin Elementary School,Pennsauken Township Board Of Education School District - Camden County,Camden,None,41St & Sharon Terrace,,Pennsauken,United States,1/25/19 23:55,Brandon Lipman,
Bankbridge Regional School - Gloucester County Special Services School District,Education,New Jersey Public Records - School Data,Bankbridge Regional School,Gloucester County Special Services School District - Gloucester County,Gloucester,None,870 Bankbridge Road,,Sewell,United States,1/25/19 23:56,Brandon Lipman,
Barclay Early Childhood Center - Cherry Hill School District,Education,New Jersey Public Records - School Data,Barclay Early Childhood Center,Cherry Hill School District - Camden County,Camden,None,1220 Winston Way,,Cherry Hill,United States,1/25/19 23:55,Brandon Lipman,
Bard Early College High School - Newark Public School District,Education,New Jersey Public Records - School Data,Bard Early College High School,Newark Public School District - Essex County,Essex,None,321 Bergen Street,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Barley Sheaf Elementary School - Flemington-Raritan Regional School District,Education,New Jersey Public Records - School Data,Barley Sheaf Elementary School,Flemington-Raritan Regional School District - Hunterdon County,Hunterdon,None,80 Barley Sheaf Road,,Flemington,United States,1/25/19 23:56,Brandon Lipman,
Barringer Academy Of S.T.E.A.M. - Newark Public School District,Education,New Jersey Public Records - School Data,Barringer Academy Of S.T.E.A.M.,Newark Public School District - Essex County,Essex,None,90 Parker Street,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Barringer Arts High School - Newark Public School District,Education,New Jersey Public Records - School Data,Barringer Arts High School,Newark Public School District - Essex County,Essex,None,90 Parker St,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Bass River Township Elementary School - Bass River Township Board Of Education,Education,New Jersey Public Records - School Data,Bass River Township Elementary School,Bass River Township Board Of Education - Burlington County,Burlington,None,11 North Maple Avenue,,New Gretna,United States,1/25/19 23:54,Brandon Lipman,
Bayonne Academy - Hudson County Schools Of Technology School District,Education,New Jersey Public Records - School Data,Bayonne Academy,Hudson County Schools Of Technology School District - Hudson County,Hudson,None,669 Avenue A,,Bayonne,United States,1/25/19 23:56,Brandon Lipman,
Bayonne Alternative High School - Bayonne School District,Education,New Jersey Public Records - School Data,Bayonne Alternative High School,Bayonne School District - Hudson County,Hudson,None,669 Avenue A,,Bayonne,United States,1/25/19 23:56,Brandon Lipman,
Bayonne High School - Bayonne School District,Education,New Jersey Public Records - School Data,Bayonne High School,Bayonne School District - Hudson County,Hudson,None,669 Avenue A,,Bayonne,United States,1/25/19 23:56,Brandon Lipman,
B. Bernice Young Elementary School - Burlington Township School District,Education,New Jersey Public Records - School Data,B. Bernice Young Elementary School,Burlington Township School District - Burlington County,Burlington,None,1203 Neck Road,,Burlington,United States,1/25/19 23:54,Brandon Lipman,
Bear Tavern Elementary School - Hopewell Valley Regional School District,Education,New Jersey Public Records - School Data,Bear Tavern Elementary School,Hopewell Valley Regional School District - Mercer County,Mercer,None,1162 Bear Tavern Road,,Titusville,United States,1/25/19 23:56,Brandon Lipman,
Belhaven Middle School - Linwood City School District,Education,New Jersey Public Records - School Data,Belhaven Middle School,Linwood City School District - Atlantic County,Atlantic,None,51 Belhaven Avenue,,Linwood,United States,1/25/19 23:54,Brandon Lipman,
Belleville High School - Belleville Public Schools,Education,New Jersey Public Records - School Data,Belleville High School,Belleville Public Schools - Essex County,Essex,None,100 Passaic Ave,,Belleville,United States,1/25/19 23:55,Brandon Lipman,
Belleville Middle School - Belleville Public Schools,Education,New Jersey Public Records - School Data,Belleville Middle School,Belleville Public Schools - Essex County,Essex,None,279 Washington Ave,,Belleville,United States,1/25/19 23:55,Brandon Lipman,
Belleville Ps10 - Belleville Public Schools,Education,New Jersey Public Records - School Data,Belleville Ps10,Belleville Public Schools - Essex County,Essex,None,527 Belleville Ave,,Belleville,United States,1/25/19 23:55,Brandon Lipman,
Belleville Ps3 - Belleville Public Schools,Education,New Jersey Public Records - School Data,Belleville Ps3,Belleville Public Schools - Essex County,Essex,None,230 Joralemon St,,Belleville,United States,1/25/19 23:55,Brandon Lipman,
Belleville Ps4 - Belleville Public Schools,Education,New Jersey Public Records - School Data,Belleville Ps4,Belleville Public Schools - Essex County,Essex,None,30 Magnolia St,,Belleville,United States,1/25/19 23:55,Brandon Lipman,
Belleville Ps5 - Belleville Public Schools,Education,New Jersey Public Records - School Data,Belleville Ps5,Belleville Public Schools - Essex County,Essex,None,149 Adelaide St,,Belleville,United States,1/25/19 23:55,Brandon Lipman,
Belleville Ps7 - Belleville Public Schools,Education,New Jersey Public Records - School Data,Belleville Ps7,Belleville Public Schools - Essex County,Essex,None,20 Passaic Ave,,Belleville,United States,1/25/19 23:55,Brandon Lipman,
Belleville Ps8 - Belleville Public Schools,Education,New Jersey Public Records - School Data,Belleville Ps8,Belleville Public Schools - Essex County,Essex,None,183 Union Ave,,Belleville,United States,1/25/19 23:55,Brandon Lipman,
